,from_data,to_data,y_true,y_pred
0,"tensor([624., 442., 350.])","tensor([478., 442.,  70.])","tensor([144., 442., 118.])","tensor([ 0.4845, -0.8861,  1.5772,  ..., -0.3764, -0.3316, -0.1734],
       grad_fn=<AddBackward0>)"
1,"tensor([194., 376., 526.])","tensor([318., 376., 416.])","tensor([617., 376., 279.])","tensor([ 0.1242, -3.5038, -0.5178,  ..., -0.2579,  0.9416, -1.3162],
       grad_fn=<AddBackward0>)"
2,"tensor([376., 627., 325.])","tensor([224., 627., 559.])","tensor([403., 627., 530.])","tensor([-0.1183, -0.9768, -0.4062,  ..., -0.8910, -0.5438, -0.2792],
       grad_fn=<AddBackward0>)"
3,"tensor([508., 205., 299.])","tensor([398., 205., 310.])","tensor([ 43., 205., 268.])","tensor([-0.6238, -1.1151, -0.6619,  ..., -0.4627, -0.3334,  0.2737],
       grad_fn=<AddBackward0>)"
4,"tensor([531., 715., 223.])","tensor([100., 715., 276.])","tensor([263., 715., 115.])","tensor([-0.7534, -0.3126, -5.8329,  ...,  1.7443,  0.4128,  1.3397],
       grad_fn=<AddBackward0>)"
5,"tensor([478., 728., 507.])","tensor([339., 728., 279.])","tensor([560., 728., 156.])","tensor([ 1.3137, -1.0076,  1.2858,  ..., -0.1511, -0.7988, -0.3104],
       grad_fn=<AddBackward0>)"
6,"tensor([536., 793., 484.])","tensor([ 47., 793.,  93.])","tensor([117., 793., 263.])","tensor([-1.2325,  0.3406, -0.8178,  ..., -2.0114, -1.2483, -0.4274],
       grad_fn=<AddBackward0>)"
7,"tensor([ 29., 844., 613.])","tensor([199., 844.,  93.])","tensor([421., 844., 428.])","tensor([ 0.2862, -0.8451,  0.3454,  ..., -1.3996, -0.1319, -0.1804],
       grad_fn=<AddBackward0>)"
8,"tensor([370., 906., 580.])","tensor([ 54., 906., 234.])","tensor([478., 906., 251.])","tensor([-0.4839, -0.6314, -0.5457,  ..., -0.7544, -0.4714, -0.5101],
       grad_fn=<AddBackward0>)"
9,"tensor([385., 313., 230.])","tensor([301., 313., 198.])","tensor([576., 313., 417.])","tensor([-0.6790,  0.5083, -0.5018,  ..., -1.4836, -0.0458, -7.0257],
       grad_fn=<AddBackward0>)"
10,"tensor([135., 871., 310.])","tensor([196., 871., 321.])","tensor([186., 871., 445.])","tensor([-0.3846,  0.0926, -0.5384,  ..., -0.1840, -1.1171, -1.6178],
       grad_fn=<AddBackward0>)"
11,"tensor([ 70., 152., 400.])","tensor([ 82., 152., 120.])","tensor([459., 152., 366.])","tensor([ 0.2238,  0.5871, -1.0639,  ...,  0.5680, -0.6913,  0.1454],
       grad_fn=<AddBackward0>)"
12,"tensor([611., 886., 530.])","tensor([366., 886., 370.])","tensor([348., 886., 341.])","tensor([ 0.9490,  0.2467, -0.8863,  ..., -0.2647,  0.2120, -1.4820],
       grad_fn=<AddBackward0>)"
13,"tensor([318., 351., 285.])","tensor([373., 351.,  73.])","tensor([202., 351., 607.])","tensor([-0.1901, -0.6775,  0.2662,  ..., -0.3772, -0.0362, -1.6045],
       grad_fn=<AddBackward0>)"
14,"tensor([243., 881., 313.])","tensor([582., 881., 524.])","tensor([463., 881., 219.])","tensor([ 0.0458, -0.2503, -1.2148,  ..., -0.1367,  0.8200, -0.0307],
       grad_fn=<AddBackward0>)"
15,"tensor([617., 932., 420.])","tensor([398., 932., 251.])","tensor([466., 932., 578.])","tensor([-0.4342,  1.8616,  0.4605,  ..., -0.5741,  1.2718, -1.1137],
       grad_fn=<AddBackward0>)"
